# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1754982775651000000,1754982783418000000,6
cacheStateStorage.get.counter,1754982775651000000,1754982783418000000,10
cacheStateStorage.set.duration,1754982775651000000,1754982783418000000,4
cacheStateStorage.get.duration,1754982775651000000,1754982783418000000,7
NonBlockingReadAction.failedExecutionTimeUs,1754982775651000000,1754982783418000000,0
NonBlockingReadAction.finalizedExecutionsCount,1754982775651000000,1754982783418000000,19
NonBlockingReadAction.failedExecutionsCount,1754982775651000000,1754982783418000000,0
AWTEventQueue.dispatchTimeTotalNS,1754982775651000000,1754982783418000000,613441552
NonBlockingReadAction.finalizedExecutionTimeUs,1754982775651000000,1754982783418000000,41455
VFS.invertedFileNameIndex.requests,1754982775651000000,1754982783418000000,0
VFS.fileByIdCache.hits,1754982775651000000,1754982783418000000,0
VFS.fileByIdCache.misses,1754982775651000000,1754982783418000000,0
VFS.fileChildByName,1754982775651000000,1754982783418000000,28
FilePageCache.pageLoadsAboveSizeThreshold,1754982775651000000,1754982783418000000,0
DirectByteBufferAllocator.reclaimed,1754982775651000000,1754982783418000000,43
FilePageCache.capacityInBytes,1754982775651000000,1754982783418000000,629145600
FilePageCache.maxCacheSizeInBytes,1754982775651000000,1754982783418000000,195035136
FilePageCache.uncachedFileAccess,1754982775651000000,1754982783418000000,109
DirectByteBufferAllocator.hits,1754982775651000000,1754982783418000000,3
FilePageCache.totalPageDisposalsUs,1754982775651000000,1754982783418000000,477
FileChannelInterruptsRetryer.totalRetriedAttempts,1754982775651000000,1754982783418000000,0
FilePageCache.disposedBuffers,1754982775651000000,1754982783418000000,189
FilePageCache.maxRegisteredFiles,1754982775651000000,1754982783418000000,518
DirectByteBufferAllocator.disposed,1754982775651000000,1754982783418000000,146
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1754982775651000000,1754982783418000000,41943040
FilePageCache.pageLoads,1754982775651000000,1754982783418000000,189
